id_pregunta,categoria,modelo,pregunta,respuesta,respuesta_referencia,fuentes,tiempo_segundos,num_docs_recuperados
1,libro_reclamaciones,llama3.1:8b,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,"**La diferencia entre una queja y un reclamo en el Libro de Reclamaciones**

Una queja expresa un malestar o descontento respecto a la atención recibida por parte del proveedor, pero que no se relaciona directamente con el producto o servicio adquirido. Por ejemplo, si el personal de seguridad de un establecimiento comercial es descortés o los servicios higiénicos están sucios.

Por otro lado, un reclamo sí está vinculado directamente a una falla o disconformidad con el producto o servicio. Se presenta a través del Libro de Reclamaciones del proveedor, ya sea físico o virtual, y obliga a la empresa a dar una respuesta formal. Por ejemplo, si compraste un televisor que no enciende, interpones un reclamo.

**Paso a paso para presentar un reclamo:**

1.  Identifica qué falla o disconformidad hay con el producto o servicio adquirido.
2.  Comunícate directamente con la empresa para intentar resolver el problema de manera amistosa.
3.  Si la empresa no resuelve el problema, puedes presentar un reclamo en el Libro de Reclamaciones del proveedor. Deberás brindar detalles sobre el producto o servicio adquirido, la falla o disconformidad observada y cualquier otra información relevante.
4.  La empresa tiene obligación legal de responder formalmente a tu reclamo dentro de un plazo determinado.

**Recuerda que si no te satisface la respuesta del proveedor o crees que ha habido una infracción al Código de Protección y Defensa del Consumidor, puedes solicitar la intervención de INDECOPI.**

**Fuente legal utilizada:**
Código de Protección y Defensa del Consumidor (Decreto Supremo N° 004-93 - Decreto Ley N° 25594).","La reclamación trata sobre problemas o deficiencias en el producto o servicio en sí, como un aparato que no funcione o una comida contaminada, mientras que una queja trata sobre el servicio al cliente y el trato al consumidor por parte del establecimiento o proveedor, como un mesero que exija propina.",Guía de procedimientos INDECOPI - Reclamos y Denuncias | Guía de reclamos y quejas en el servicio público de telecomunicaciones | Guía de reclamos y quejas en el servicio público de telecomunicaciones,6.87,3
2,telecomunicaciones,llama3.1:8b,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,"Si tienes un problema con tu servicio de telefonía móvil, el primer paso es intentar resolverlo directamente con tu operador. Si no logras una solución satisfactoria, puedes dirigirte a la Superintendencia Nacional de Telecomunicaciones (SNT) para que te asesore sobre cómo proceder.

La SNT es la institución encargada de supervisar y regular las actividades de los operadores de telecomunicaciones en el Perú. Pueden ayudarte a determinar si tu caso está relacionado con una infracción y orientarte sobre cómo presentar un reclamo formal.

Una vez que presentes tu reclamo, es probable que necesites proporcionar información detallada sobre lo sucedido, incluyendo fechas, descripciones de los eventos y cualquier comunicación relevante que hayas tenido con el operador. Es importante mantener una actitud objetiva y documentar todo para poder apoyar tu caso.

Es posible que la SNT te aconseje sobre cómo proceder en base a la información proporcionada y puede incluso abrir un expediente para investigar tu reclamo si es necesario.

Recuerda siempre tener una copia de tus documentos y comunicaciones relevantes, esto ayudará a facilitar el proceso y a demostrar tu caso si es necesario.

Fuentes legales utilizadas:

*   Ley N° 30288: Ley General de Telecomunicaciones.
*   Decreto Supremo N° 004-2013-SA: Reglamento de la Ley General de Telecomunicaciones.","El primer reclamo debe hacerse a la empresa prestadora del servicio, sea Claro, Movistar, Entel, etc. Ellos te deben brindar medios o canales para presentar tu reclamo. Si, luego de su respuesta, no sientes que han satisfecho tus derechos, puedes interponer una denuncia ante INDECOPI.",Guía de reclamos y quejas en el servicio público de telecomunicaciones | Guía de reclamos y quejas en el servicio público de telecomunicaciones | Guía de reclamos y quejas en el servicio público de telecomunicaciones,3.54,3
3,indecopi,llama3.1:8b,¿Qué diferencia una denuncia de una reclamación?,"No hay información sobre qué diferencia una denuncia de una reclamación en el contexto proporcionado. Si necesitas ayuda con algo más, házmelo saber.

(Fuente: No se utilizó ninguna fuente específica para esta respuesta ya que no hubo información relevante a la pregunta).",Un reclamo o queja es una muestra de disconformidad que brinda el consumidor contra la empresa o proveedor a través del Libro de Reclamaciones. Una denuncia es una solicitud dirigida a INDECOPI para que sancionen con una multa al proveedor o empresa por vulnerar tus derechos como consumidor. Primero debe realizarse el reclamo antes de acudir a la denuncia.,Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL | Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL | Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL,12.98,3
4,inmobiliario,llama3.1:8b,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,"Si estás adquiriendo un departamento de una inmobiliaria considerada como proveedor inmobiliario, es importante verificar qué debes incluir en el contrato. 

1. **Descripción detallada del bien**: El contrato debe contener la descripción completa y precisa del departamento: número de habitaciones, tamaño, ubicación exacta, entre otros detalles importantes.
2. **Precio o valor de venta**: Es fundamental que el precio o valor de venta esté claramente especificado en el contrato.
3. **Formas de pago**: El contrato debe indicar las condiciones y plazos para realizar los pagos del departamento.
4. **Plazo de entrega**: Asegúrate de incluir la fecha límite para que la inmobiliaria entregue el departamento o su título de propiedad.

Es importante revisar estos puntos antes de firmar el contrato, ya que si hay cambios posteriores sin tu acuerdo explícito, podrías enfrentar problemas legales.

Para cualquier duda o conflicto con un proveedor inmobiliario, es importante acudir a la Autoridad Nacional del Consumidor (ANC), quien te ayudará a resolver el caso de manera justa y efectiva.

**Fuentes Legales utilizadas:**

- Código Civil
- Código de Protección y Defensa del Consumidor","Deben brindarse todos los datos y condiciones de la venta del departamento. Algunas cosas indispensables son el área del inmueble, el precio exacto, la forma y plazos de pago, las penalidades que hubieran y la forma de resolver controversias. Estos datos deben coincidir con las ofertas y ofrecimientos dados en la publicidad o las negociaciones previas.",Guía sobre productos y servicios inmobiliarios | Guía sobre productos y servicios inmobiliarios | Guía sobre productos y servicios inmobiliarios,14.57,3
5,servicios_financieros,llama3.1:8b,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?","Sí, tienes derecho a pagar tus préstamos con el banco de manera anticipada. Para hacerlo, sigue estos pasos:

1. Verifica si puedes realizar pagos anticipados leyendo las condiciones del contrato de crédito Mi Vivienda.
2. Si no hay restricciones, pide al banco cómo y cuándo debes realizar el pago adelantado para evitar pérdida del bono de buen pagador.
3. Realiza el pago anticipado según lo acordado con la entidad financiera.

Recuerda que si incumplís los requisitos exigidos para mantener el bono, podrías perderlo.","Sí. El consumidor tiene derecho a pagar por adelantado los créditos o deudas que haya contraído con la institución financiera, libremente. El banco no puede negarse a recibir el pago.",Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022,12.76,3
6,indecopi,llama3.1:8b,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,"Para solicitar el reembolso de gastos médicos y sepelio, necesitas presentar estos documentos:

*   Una copia del DNI tanto de la víctima como del solicitante.
*   Documento que acredite tu representación o parentesco con la víctima (por ejemplo, certificado de matrimonio, acta de nacimiento o defunción).
*   Copia del atestado policial.
*   Informe médico o partida de defunción, según corresponda al caso.

También debes presentar originales de comprobantes de pago de los gastos médicos. Estos documentos te ayudarán a demostrar que has tenido gastos por la atención médica y sepelio de la persona fallecida. 

Puedes solicitar indemnización o reparación por los daños sufridos a través del Libro de Reclamaciones o INDECOPI.

Para solicitar ayuda, puedes dirigirte al Servicio de Atención al Consumidor en línea (SAC) de INDECOPI o visitar uno de sus centros de atención.","No. La reclamación y la denuncia por derechos de consumidor no permiten exigirle a la empresa o proveedor una indemnización por daños y perjuicios. La indemnización por los daños sufridos debe interponerse como un juicio ordinario, ante el Poder Judicial.",Cartilla informativa sobre SOAT | Cartilla informativa sobre SOAT | Cartilla informativa sobre SOAT,16.98,3
7,productos_defectuosos,llama3.1:8b,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,"¡Claro! Si tuviste un problema con un producto (en este caso, una prenda de ropa), tienes derecho a hacer una reclamación ante el vendedor. Lo primero que debes hacer es comunicarte con la tienda o empresa donde compraste la prenda y explicarles los problemas que encontraste.

Si ellos no te dan solución, puedes ir al Centro Nacional de Competencia y Defensa de la Competencia (CNM), y también puedes denunciar a la Dirección General de Protección al Consumidor (DIGEPUCO). Ten en cuenta que antes de acudir a estos lugares es recomendable intentar llegar a un acuerdo con el vendedor, ya que ellos pueden ofrecerte una solución o reemplazo.

No te preocupes si el producto tenía defectos visibles cuando lo compraste, puedes denunciarlo igualmente. Lo importante es que hayas comprado algo y te haya causado problemas.

Recuerda llevar los documentos de compra y cualquier evidencia relacionada con tus reclamaciones.

**Fuente:** Ley General del Consumidor (Ley N° 30634).","No. Si el producto no cumple con la calidad, materiales o cualificaciones que se ofrecieron, entonces están obligados a restituirte un nuevo producto.",Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022,12.83,3
8,servicios_financieros,llama3.1:8b,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,"No, si tienes una tarjeta de crédito con la opción de no tener comisión de membresía, el banco no puede cobrar comisiones ni conceptos adicionales a menos que te lo informen previamente. Para protegerte, puedes hacer lo siguiente:

1. Verifica si tienes esta opción en tu contrato o comunicación con el banco.
2. Si no estás seguro, contacta al banco para preguntar sobre la existencia de una tarjeta de crédito sin comisión de membresía y confirmar sus condiciones.
3. Lee y comprende las condiciones generales y específicas de tu tarjeta antes de realizar cualquier transacción que pueda generar cobros adicionales.

Ten en cuenta que es responsabilidad del banco informarte sobre los cambios o cobros adicionales, así como conservar la documentación del cumplimiento de esta obligación.

**Fuentes legales utilizadas:**

* Reglamento de Tarjetas de Crédito y Débito (no mencionado explícitamente en el contexto dado pero relacionado con las condiciones generales de las tarjetas)",No. Está prohibido aumentar o cambiar las comisiones y otros gastos que pague el consumidor sin que primero se le informe adecuadamente.,Resolución SBS N° 3274-2017 | Resolución SBS N° 3274-2017 | Resolución SBS N° 3274-2017,15.29,3
9,libro_reclamaciones,llama3.1:8b,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,"Sí, una empresa o negocio digital debe contar con un libro de reclamaciones. Esto se aplica a todas las plataformas digitales de comercio electrónico.

Si tienes un problema con la plataforma digital donde compraste algo, puedes solicitar la información del libro de reclamaciones para presentar tu reclamo. La empresa debe proporcionarte esta información en un plazo razonable (por ejemplo, dentro de 7 días hábiles).

Puedes acceder al libro de reclamaciones en forma física o virtual. Si es físico, pídele a la empresa que te lo muestre. Si es virtual, pide el link para acceso.

No olvides revisar si tu reclamo está incluido en el libro de reclamaciones una vez que lo hayas presentado.

**Fuente legal:** Ley del Consumidor y Usuarios (Decreto Legislativo N° 1056) - Artículo 150.","Sí. Todos los negocios, sean con tienda física o virtual, deben contar con un libro de reclamaciones. En caso de un negocio digital, el libro de reclamaciones es virtual, y tiene las mismas características que un libro de reclamaciones físico.",Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor,12.52,3
10,precios,llama3.1:8b,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,"No. Si un comercio establece un precio para un producto o servicio, no pueden cobrarle más por ese mismo producto o servicio. Asegúrate de que el precio esté claro y visible tanto en la tienda como en su página web.

Paso a paso:

1. Verifica el precio del producto o servicio antes de realizar la compra.
2. Si encuentras un producto con diferentes precios según el medio de pago, asegúrate de que este detalle esté claramente indicado en el local o página web.
3. Si no hay una advertencia sobre condiciones específicas para ciertos medios de pago, puedes utilizar el método de pago que desees sin temor a ser cobrado más.

Si te encuentras en una situación en la que les exigen pagar más del precio establecido, pide que se respete el precio fijado. Si no es atendido, puedes denunciar al comercio por violar tu derecho.

Fuente legal: Decreto Legislativo N° 1047 (Ley del Consumidor). Artículo 7.","No. Cualquier aumento o sobreprecio al precio que se exhibe en la página web o en la tienda física está prohibido. La empresa debe mostrar exactamente el precio final a cobrar, o avisar claramente si existe algún recargo o pago adicional.",Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor,16.01,3
1,libro_reclamaciones,gemma2:9b,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,"La **queja** se usa cuando no estás conforme con la atención recibida por parte del proveedor, pero no tiene relación directa con el producto o servicio comprado. Por ejemplo, si te trataron mal en una tienda. 

El **reclamo**, en cambio, es para expresar que hay un problema con el producto o servicio que compraste. Si tu televisor nuevo no funciona, presentas un reclamo usando el Libro de Reclamaciones.  


","La reclamación trata sobre problemas o deficiencias en el producto o servicio en sí, como un aparato que no funcione o una comida contaminada, mientras que una queja trata sobre el servicio al cliente y el trato al consumidor por parte del establecimiento o proveedor, como un mesero que exija propina.",Guía de procedimientos INDECOPI - Reclamos y Denuncias | Guía de reclamos y quejas en el servicio público de telecomunicaciones | Guía de reclamos y quejas en el servicio público de telecomunicaciones,7.34,3
2,telecomunicaciones,gemma2:9b,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,"Para reclamar por problemas con tu servicio de telefonía móvil puedes ir al Indecopi (Instituto Nacional para la Protección y Defensa del Consumidor).  



Fuentes legales utilizadas: 
* Contexto legal proporcionado.","El primer reclamo debe hacerse a la empresa prestadora del servicio, sea Claro, Movistar, Entel, etc. Ellos te deben brindar medios o canales para presentar tu reclamo. Si, luego de su respuesta, no sientes que han satisfecho tus derechos, puedes interponer una denuncia ante INDECOPI.",Guía de reclamos y quejas en el servicio público de telecomunicaciones | Guía de reclamos y quejas en el servicio público de telecomunicaciones | Guía de reclamos y quejas en el servicio público de telecomunicaciones,13.02,3
3,indecopi,gemma2:9b,¿Qué diferencia una denuncia de una reclamación?,"Lo siento, pero el texto que me proporcionaste habla sobre las causas por las que un reclamo, recurso o queja puede ser improcedente, no define qué es una denuncia.


  
",Un reclamo o queja es una muestra de disconformidad que brinda el consumidor contra la empresa o proveedor a través del Libro de Reclamaciones. Una denuncia es una solicitud dirigida a INDECOPI para que sancionen con una multa al proveedor o empresa por vulnerar tus derechos como consumidor. Primero debe realizarse el reclamo antes de acudir a la denuncia.,Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL | Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL | Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL,1.05,3
4,inmobiliario,gemma2:9b,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,"En el contrato de compraventa de un departamento con una inmobiliaria, **debería** incluir lo siguiente: 

1. **Identificación del comprador y del vendedor:**  Nombres completos, DNI y dirección de ambos. También debe aparecer la razón social si es una empresa.
2. **Descripción precisa del inmueble:** Número, ubicación exacta, características (metros cuadrados, número de habitaciones, etc.)
3. **Precio total a pagar**: Debe estar claramente indicado el monto total que pagarás por el departamento, incluyendo gastos o comisiones adicionales.  
4. **Forma de pago**: Detallar cómo se realizará el pago (contado, financiado, etc.) y plazos. 
5. **Gastos e impuestos:** Especificar quién asume los gastos de notarías, registro, transferencia de dominio, etc.
6. **Fecha de entrega del inmueble:**  Indicar cuándo te entregan las llaves del departamento.

**Recuerda**: Lee el contrato con atención antes de firmarlo y asegúrate de entender todos los puntos. No dudes en pedir aclaraciones a la inmobiliaria si hay algo que no comprendas. 



 Fuentes legales: Código Civil, Código de Protección y Defensa del Consumidor.","Deben brindarse todos los datos y condiciones de la venta del departamento. Algunas cosas indispensables son el área del inmueble, el precio exacto, la forma y plazos de pago, las penalidades que hubieran y la forma de resolver controversias. Estos datos deben coincidir con las ofertas y ofrecimientos dados en la publicidad o las negociaciones previas.",Guía sobre productos y servicios inmobiliarios | Guía sobre productos y servicios inmobiliarios | Guía sobre productos y servicios inmobiliarios,3.25,3
5,servicios_financieros,gemma2:9b,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?","Sí, tienes derecho a pagar tu préstamo por adelantado. Esto se llama ""pago anticipado"".  


* Ve a la entidad financiera donde tengas tu crédito. 
* Informa que quieres hacer un pago anticipado. 
* Ellos te indicarán cuánto puedes pagar y cómo hacerlo.

Recuerda que si pagas anticipadamente, podrías perder el bono de buen pagador del crédito Mi Vivienda si no cumples con los requisitos.


**Fuentes legales:** Ley N.° 29033, Reglamento del Nuevo Crédito Mi Vivienda. 
","Sí. El consumidor tiene derecho a pagar por adelantado los créditos o deudas que haya contraído con la institución financiera, libremente. El banco no puede negarse a recibir el pago.",Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022,1.73,3
