id_pregunta,categoria,modelo,pregunta,score_gemini,clasificacion_gemini,conceptos_encontrados,conceptos_faltantes,alucinaciones,justificacion_gemini,tiempo_segundos,num_docs_recuperados
11,precios,mistral:7b-instruct,¿Me pueden obligar a pagar propina o un adicional al precio de la carta en un restaurante?,2,correcto,propina voluntaria | recargos adicionales deben ser informados | precio total debe incluir tributos y cargos | Código de Protección y Defensa del Consumidor (Ley N° 29571) | resoluciones de INDECOPI,,,"La respuesta del chatbot es correcta, llega a la misma conclusión que la referencia y cubre los conceptos clave sobre la voluntariedad de la propina y la necesidad de informar recargos adicionales, citando la ley y resoluciones relevantes.",3.37,3
12,educacion,mistral:7b-instruct,¿El colegio puede obligarme a comprar libros de texto nuevos para mis hijos?,2,correcto,No se puede obligar a comprar libros de texto nuevos | Derecho a usar textos de segundo uso/reutilizados | Prohibido exigir libros nuevos o diseñados para un solo uso | Base legal específica (Ley N° 29694),,,"La respuesta del chatbot es correcta, llega a la misma conclusión práctica que la referencia, cubre todos los conceptos clave y añade valor al citar la ley específica que sustenta la prohibición.",1.43,3
1,libro_reclamaciones,qwen2.5:14b,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,2,correcto,Diferencia entre queja y reclamo | Reclamo por problemas con producto o servicio | Queja por problemas con el trato o servicio al cliente,,,"El chatbot explica correctamente la diferencia entre un 'reclamo' (problema con el producto o servicio) y una 'queja' (problema con el trato o servicio al cliente), coincidiendo plenamente con la respuesta de referencia y brindando ejemplos claros.",40.18,3
2,telecomunicaciones,qwen2.5:14b,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,2,correcto,reclamo a la empresa operadora | canales de reclamo | apelación a INDECOPI | plazo de respuesta de la empresa,,,"El chatbot identifica correctamente a la empresa operadora como primer punto de reclamo y a INDECOPI como siguiente instancia, coincidiendo con la referencia y añadiendo pasos útiles. La mención de '20 días hábiles' es una imprecisión menor sobre el plazo exacto de respuesta en telecomunicaciones, pero no altera la conclusión práctica ni la buena orientación al ciudadano.",58.69,3
3,indecopi,qwen2.5:14b,¿Qué diferencia una denuncia de una reclamación?,1,parcial,Diferencia entre reclamo y denuncia | Reclamo es por disconformidad personal con producto o servicio | Denuncia es por algo ilegal o que afecta los derechos de otros consumidores | INDECOPI es la institución para las denuncias,Mecanismo del reclamo a través del Libro de Reclamaciones | El reclamo debe realizarse antes de la denuncia | La denuncia busca que se sancione con una multa,,"La respuesta del chatbot explica correctamente la diferencia esencial entre reclamo y denuncia, pero omite el detalle del 'Libro de Reclamaciones' como vía principal del reclamo y, más importante, la secuencia procesal de que el reclamo debe preceder a la denuncia.",47.64,3
4,inmobiliario,qwen2.5:14b,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,1,parcial,"datos de las partes | detalles del departamento (ubicación, tamaño, características) | precio a pagar | forma y plazos de pago | fecha de entrega del departamento | forma de resolver problemas/controversias","penalidades (de forma general, no solo por entrega) | la obligación de que los datos del contrato coincidan con las ofertas y ofrecimientos dados en la publicidad o negociaciones previas","El chatbot atribuye la totalidad de la lista de información básica obligatoria al Artículo 78 del Código de Protección y Defensa del Consumidor, el cual se enfoca específicamente en las condiciones de pago y no en todos los elementos del contrato.","La respuesta del chatbot es bastante detallada y cubre la mayoría de los puntos esenciales mencionados en la referencia, añadiendo incluso información valiosa. Sin embargo, omite un punto crucial sobre la coincidencia de las condiciones del contrato con la publicidad o negociaciones previas, y la mención de penalidades es menos general que en la referencia. Además, la atribución de toda la lista al Artículo 78 es una imprecisión en la fuente.",85.67,3
5,servicios_financieros,qwen2.5:14b,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?",1,parcial,Derecho a pagar por adelantado | Sin multas ni cargos extras | Prohibición de cobrar comisión por pago adelantado | Reducción de intereses y tiempo del préstamo | Denuncia ante INDECOPI | Base legal (Artículo 86 Ley N° 29571),El banco no puede negarse a recibir el pago,Restricción sobre establecer una fecha específica dentro del mes para realizar el pago adelantado,"La respuesta del chatbot es 'Sí' y cubre correctamente la ausencia de penalidades y la institución para denuncias. Sin embargo, incluye una afirmación incorrecta y limitante sobre la imposibilidad de establecer una fecha específica para el pago adelantado, lo cual contradice el espíritu de la libertad para prepagar.",31.53,3
6,indecopi,qwen2.5:14b,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,2,correcto,"INDECOPI no otorga indemnización por daños y perjuicios | Libro de Reclamaciones no otorga indemnización por daños y perjuicios | La indemnización por daños y perjuicios se solicita vía judicial (tribunal civil/Poder Judicial) | INDECOPI puede ordenar medidas correctivas (reembolso, cambio de producto)",,,"La respuesta del chatbot es correcta y llega a la misma conclusión práctica que la referencia: no se puede pedir indemnización directamente por esas vías, sino que debe hacerse en el Poder Judicial. Además, añade información útil y precisa sobre el rol de INDECOPI y el Libro de Reclamaciones.",56.95,3
7,productos_defectuosos,qwen2.5:14b,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,1,parcial,"derecho a cambio/devolución por mala calidad o roturas | obligación del comerciante de restituir/arreglar sin costo | referencia al Código de Protección y Defensa del Consumidor | pasos prácticos (guardar recibo/etiqueta, mostrar prenda, solicitar)",,"establece un plazo de 30 días para ejercer el derecho de cambio/devolución por roturas o mala calidad, lo cual no es un límite general bajo la Ley N° 29571 para defectos del producto","La respuesta del chatbot es correcta en su conclusión principal y cubre varios conceptos clave, pero introduce un plazo de 30 días para defectos de calidad que es incorrecto y una alucinación bajo la ley peruana, lo cual penaliza su puntaje.",35.53,3
8,servicios_financieros,qwen2.5:14b,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,2,correcto,"prohibición de cobro sin aviso previo | necesidad de notificación anticipada y detallada | INDECOPI como instancia para reclamos | Código de Protección y Defensa del Consumidor, Ley N° 29571",,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia ('No') y cubre los conceptos clave sobre la prohibición de cobros sin aviso. Además, proporciona información adicional correcta y útil para el ciudadano, sin errores ni alucinaciones.",38.99,3
9,libro_reclamaciones,qwen2.5:14b,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,1,parcial,Obligación de tener Libro de Reclamaciones para negocios digitales | Libro de Reclamaciones virtual para compras en línea/plataformas web | Mención de la Ley N° 29571 (Código de Protección y Defensa del Consumidor) | Obligación del negocio de ayudar a registrar el reclamo | Posibilidad de contactar a INDECOPI si no se da acceso o ayuda,"La especificidad de que, para un negocio digital, el libro DEBE ser virtual (la respuesta del chatbot indica inicialmente 'puede ser en forma física o virtual') | La equivalencia legal del libro virtual con el físico ('mismas características')",,"La respuesta del chatbot llega a la misma conclusión afirmativa pero presenta una imprecisión inicial sobre el formato del libro para negocios digitales (menciona 'física o virtual' en lugar de 'es virtual'), aunque luego se corrige parcialmente al hablar de compras en línea. Omite la equivalencia legal de características y añade información adicional correcta y útil.",26.43,3
10,precios,qwen2.5:14b,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,2,correcto,No se puede aumentar el precio una vez mostrado | El precio mostrado debe ser el precio final | Debe incluir todos los impuestos y cargos | Los recargos adicionales (ej. por tarjeta de crédito) deben ser avisados claramente antes del pago | El consumidor tiene derecho a negarse a pagar recargos no informados o sin consentimiento | Se puede presentar una denuncia ante INDECOPI,,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia, cubre los conceptos clave y añade información adicional correcta y relevante sobre los recargos con tarjeta de crédito y la vía de denuncia ante INDECOPI.",30.12,3
11,precios,qwen2.5:14b,¿Me pueden obligar a pagar propina o un adicional al precio de la carta en un restaurante?,1,parcial,No se pueden cobrar montos adicionales o recargos no informados o aceptados previamente | Establecimientos tienen obligación de informar cualquier cargo adicional antes de aceptarlo | Pasos para protestar el cobro y presentar una queja a INDECOPI,La propina es siempre y únicamente voluntaria (no puede hacerse obligatoria ni con previo aviso/aceptación),,"La respuesta es mayormente correcta al indicar que no se pueden cobrar montos adicionales sin información o aceptación previa. Sin embargo, no enfatiza que la propina es siempre voluntaria, sugiriendo que podría ser obligatoria si se informa y acepta, lo cual es una imprecisión respecto al carácter 'únicamente voluntario' de la propina.",64.54,3
12,educacion,qwen2.5:14b,¿El colegio puede obligarme a comprar libros de texto nuevos para mis hijos?,2,correcto,prohibición de exigir libros nuevos | posibilidad de usar libros reutilizados o de segunda mano | Ley N° 29571 (Código de Protección y Defensa del Consumidor) | INDECOPI como entidad para reclamos,,,"El chatbot llega a la misma conclusión práctica que la referencia ('No'), cita la ley correcta (Ley N° 29571) y explica que los libros pueden ser reutilizados o de segunda mano. Además, ofrece pasos útiles para el ciudadano, incluyendo cómo presentar una queja a INDECOPI, lo cual enriquece la respuesta sin errores.",44.72,3
1,libro_reclamaciones,llama3.1:8b,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,2,correcto,diferencia entre queja y reclamo | reclamo por problemas en bienes o servicios | queja por atención al público o malestar | queja no inicia procedimiento administrativo sancionador | ambos se registran en el Libro de Reclamaciones,,,"La respuesta del chatbot distingue correctamente entre queja y reclamo, alineándose con la referencia y proporcionando detalles adicionales precisos sobre las implicaciones de cada uno en el marco legal peruano.",6.44,3
2,telecomunicaciones,llama3.1:8b,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,0,incorrecto,"Reclamo a la empresa operadora | Canales de reclamo de la empresa (teléfono, web, línea de atención, correo electrónico) | INDECOPI como instancia para presentar reclamos o consultas","La secuencia correcta del proceso: el primer reclamo debe hacerse a la empresa prestadora del servicio, y solo si su respuesta no satisface al ciudadano, se puede interponer una denuncia ante INDECOPI.","Instruir al ciudadano a iniciar el reclamo 'Primero' en la página web de INDECOPI, lo cual contradice el procedimiento legal que exige presentar el primer reclamo ante la empresa prestadora del servicio.","El chatbot instruye incorrectamente al usuario a iniciar el reclamo en INDECOPI como primer paso ('Primero, ingresa en la página web de INDECOPI'), lo cual contradice la secuencia correcta validada en la referencia (primero a la empresa, luego a INDECOPI si no hay satisfacción). Este error en el orden de los pasos es una falla crítica que desorienta al ciudadano.",2.7,3
3,indecopi,llama3.1:8b,¿Qué diferencia una denuncia de una reclamación?,0,incorrecto,expresar insatisfacción o disconformidad para reclamación,"reclamo a través del Libro de Reclamaciones | denuncia es una solicitud del consumidor a INDECOPI para sancionar con multa por vulnerar sus derechos | orden: primero reclamo, luego denuncia","La descripción de 'denuncia' se enfoca en 'procedimientos de oficio' e 'investigación de cláusulas abusivas generales' sin evaluar un 'interés particular', lo cual es una interpretación muy específica y engañosa de lo que una denuncia significa para un consumidor individual que busca diferenciarla de un reclamo por su caso particular.","La respuesta del chatbot es incorrecta porque la definición de 'denuncia' que ofrece es muy específica y desvirtúa su propósito principal para un consumidor individual, omite el mecanismo clave del 'Libro de Reclamaciones' para un reclamo y no menciona la secuencia correcta de acciones (primero reclamo, luego denuncia), que es información esencial para el ciudadano.",2.68,3
4,inmobiliario,llama3.1:8b,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,1,parcial,"identificación de las partes | descripción del departamento (ubicación, medidas, acabados) | precio de venta | forma y plazo de pago | fecha, plazo o condiciones de entrega | mecanismos para resolver controversias | obligación de firmar documentos para la transferencia",penalidades | coincidencia de los datos del contrato con las ofertas y ofrecimientos previos (publicidad o negociaciones),"El Artículo 78 del Código de Protección y Defensa del Consumidor se refiere al derecho de los consumidores a elegir, no al contenido específico de un contrato de compraventa de inmuebles.","La respuesta del chatbot cubre la mayoría de los conceptos clave sobre lo que debe figurar en el contrato, pero omite dos puntos importantes de la referencia (penalidades y la consistencia con ofertas previas). Adicionalmente, la fuente citada es incorrecta para el contenido que proporciona.",2.89,3
5,servicios_financieros,llama3.1:8b,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?",2,correcto,"Derecho a pagar por adelantado préstamos/deudas | Pagos anticipados totales o parciales | Sin penalidades ni cobros similares/adicionales | Referencia legal (Artículo 86 del Código de Protección y Defensa del Consumidor) | Reducción de intereses, comisiones y gastos",,,"La respuesta del chatbot es correcta y llega a la misma conclusión que la referencia. Además, proporciona el fundamento legal (Artículo 86 del Código de Protección y Defensa del Consumidor) y detalles adicionales correctos sobre la ausencia de penalidades y los beneficios económicos, lo que la hace una respuesta muy completa.",2.69,3
6,indecopi,llama3.1:8b,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,2,correcto,no se puede pedir directamente indemnización o reparación a través del Libro de Reclamaciones o INDECOPI | la indemnización por daños sufridos requiere un proceso civil judicial (poder judicial),,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia, indicando que la indemnización no se pide por Libro de Reclamaciones o INDECOPI, y que la vía correcta es un proceso judicial. Además, añade información precisa y útil sobre las medidas correctivas que INDECOPI sí puede dictar.",1.83,3
7,productos_defectuosos,llama3.1:8b,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,1,parcial,"Negativa a cambio por defectos no es permitida | Derecho a cambio de prenda por defectos (roturas, mala calidad) | Cambio sin cargo adicional | Posibilidad de presentar reclamación en INDECOPI",,"Atribución incorrecta del texto y remedio ('defecto relacionado con el servicio realizado', 'reparen nuevamente sin costo adicional') al Artículo 23 del Código de Protección y Defensa del Consumidor.","El chatbot responde correctamente a la pregunta principal y ofrece pasos útiles. Sin embargo, incurre en una imprecisión al atribuir de forma específica un texto y un remedio ('reparen nuevamente') al Artículo 23 del Código del Consumidor para el contexto de un producto defectuoso, lo cual no es exacto.",2.12,3
8,servicios_financieros,llama3.1:8b,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,2,correcto,Prohibido cobrar comisiones o gastos sin previo aviso | Obligación de informar sobre costos antes de la contratación | Obligación de notificar con tiempo razonable sobre cambios posteriores | Derecho del consumidor a ser informado adecuadamente | Posibilidad de denunciar ante INDECOPI,,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia ('No') y cubre el concepto clave de la necesidad de información previa. Además, la amplía con información adicional correcta y relevante sobre los momentos en que se debe informar y los pasos a seguir.",4.11,3
9,libro_reclamaciones,llama3.1:8b,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,2,correcto,Obligación de negocios digitales de tener Libro de Reclamaciones | El Libro de Reclamaciones para negocios digitales puede ser virtual | Mención de la ley aplicable (Ley N° 29571) | Pasos para la implementación y difusión del Libro de Reclamaciones,Equivalencia de características entre el Libro de Reclamaciones virtual y físico,,"La respuesta del chatbot es correcta, coincide con la conclusión principal de la referencia y cubre los conceptos clave. Aunque omite explícitamente la equivalencia de características del libro virtual con el físico, esta es una omisión menor que no cambia la conclusión práctica, y el chatbot añade información correcta y útil sobre la implementación.",2.29,3
10,precios,llama3.1:8b,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,2,correcto,"prohibición de cobrar más del precio exhibido | obligación de mostrar el precio final incluyendo tributos, comisiones y cargos | deber de informar previamente y claramente sobre cualquier recargo o pago adicional",,,"La respuesta del chatbot llega a la misma conclusión correcta ('No') y cubre todos los conceptos clave de la respuesta de referencia, incluyendo la prohibición de sobrecargos y la necesidad de informar el precio final y cualquier adicional. Además, menciona correctamente los artículos pertinentes del Código de Protección y Defensa del Consumidor.",2.69,3
11,precios,llama3.1:8b,¿Me pueden obligar a pagar propina o un adicional al precio de la carta en un restaurante?,0,incorrecto,Necesidad de informar recargos adicionales (aunque mezcla con propina) | Derecho a reclamar ante INDECOPI | Carga de la prueba en el proveedor,La propina es únicamente voluntaria (no puede ser obligatoria ni siquiera si se informa),,"La respuesta del chatbot inicia con 'Sí', lo cual contradice directamente la respuesta de referencia 'No'. Además, asume incorrectamente que la propina puede ser obligatoria si se informa previamente, cuando la propina es siempre voluntaria.",2.5,3
12,educacion,llama3.1:8b,¿El colegio puede obligarme a comprar libros de texto nuevos para mis hijos?,2,correcto,No obligación de comprar libros nuevos | Permitido el uso de libros reutilizados o de segunda mano | Prohibición legal explícita | Derecho a adquirir y utilizar textos de segundo uso | INDECOPI como autoridad para reclamo,,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia, cubre todos los conceptos clave (prohibición, derecho a libros usados) y añade información útil y correcta como los pasos a seguir y la entidad a la que reclamar (INDECOPI).",2.69,3
